t,phi1,phi2,phi3,phi4,phi5,phi6,w1,w2,w3,v1,v2,v3,vd_w1,vd_w2,vd_w3,vd_v1,vd_v2,vd_v3,upri1,upri2,upri3,upri4,upri5,upri6,upri7,ufin1,ufin2,ufin3,ufin4,ufin5,ufin6,ufin7
2.520578,-0.006443,-0.041775,-0.003702,0.086929,-0.020709,-0.109087,0.358486,2.373783,0.163735,0.656184,-0.070257,-0.245714,0.000000,0.000000,0.000000,-0.007671,0.150601,0.020000,7.581566,67.039488,5.060258,87.000000,1.837516,7.538143,-0.035012,7.581566,67.039488,5.060258,87.000000,1.836516,7.538143,-0.034012
2.617916,-0.006818,-0.044205,-0.003892,0.086470,-0.021446,-0.108700,0.376918,2.430217,0.162951,0.681930,-0.082320,-0.264448,0.000000,0.000000,0.000000,-0.007955,0.150586,0.020000,7.573487,65.155795,5.079954,87.000000,1.809853,6.865026,-0.001980,7.573487,65.155795,5.079954,87.000000,1.809853,6.865026,-0.002373
2.703465,-0.007192,-0.046666,-0.004120,0.085992,-0.022190,-0.108300,0.375159,2.460241,0.192101,0.701197,-0.081979,-0.275608,0.000000,0.000000,0.000000,-0.008239,0.150571,0.020000,8.183538,63.260978,5.740360,87.000000,1.976934,6.375731,-0.023657,8.183538,63.260978,5.740360,87.000000,1.975934,6.375731,-0.022657
2.788730,-0.007577,-0.049140,-0.004373,0.085494,-0.022933,-0.107881,0.388179,2.473399,0.183368,0.719084,-0.095270,-0.293773,0.000000,0.000000,0.000000,-0.008523,0.150555,0.020000,8.028055,61.330469,5.611551,87.000000,1.935738,5.982411,0.006513,8.028055,61.330469,5.611551,87.000000,1.935738,5.982411,0.005513
2.874328,-0.007955,-0.051608,-0.004687,0.084979,-0.023694,-0.107453,0.381505,2.468290,0.207336,0.731731,-0.094468,-0.305106,0.000000,0.000000,0.000000,-0.008807,0.150539,0.020000,8.621055,59.413645,6.261843,87.000000,2.108836,5.714323,-0.019280,8.621055,59.413645,6.261843,87.000000,2.108836,5.714323,-0.019392
2.969863,-0.008365,-0.054060,-0.004147,0.084469,-0.024105,-0.107009,0.392041,2.454500,0.192790,0.744320,-0.107768,-0.324039,0.000000,0.000000,0.000000,-0.009090,0.150522,0.020000,8.130146,57.461607,5.782502,87.000000,2.032254,5.402305,0.018388,8.130146,57.461607,5.782502,87.000000,2.031254,5.402305,0.017388
3.056362,-0.008746,-0.056486,-0.004469,0.083924,-0.024855,-0.106554,0.383080,2.425169,0.212859,0.752391,-0.106652,-0.336472,0.000000,0.000000,0.000000,-0.009374,0.150505,0.020000,8.708833,55.538909,6.418246,87.000000,2.212568,5.229404,-0.006365,8.708833,55.538909,6.418246,87.000000,2.211568,5.229404,-0.007365
3.139956,-0.009136,-0.058876,-0.004737,0.083365,-0.025576,-0.106083,0.392678,2.389718,0.195496,0.761185,-0.119502,-0.356198,0.000000,0.000000,0.000000,-0.009658,0.150487,0.020000,8.484893,53.647856,6.223186,87.000000,2.154031,5.167068,0.019409,8.484893,53.647856,6.223186,87.000000,2.154031,5.167068,0.018409
3.238424,-0.009518,-0.061220,-0.004993,0.082793,-0.026287,-0.105605,0.382897,2.343959,0.211983,0.767194,-0.118670,-0.369300,0.000000,0.000000,0.000000,-0.009941,0.150468,0.020000,9.005904,51.702819,6.800896,87.000000,2.301799,5.180548,-0.009496,9.005904,51.702819,6.800896,87.000000,2.300799,5.180548,-0.010496
3.323578,-0.009908,-0.063517,-0.005216,0.082206,-0.026978,-0.105111,0.391889,2.296648,0.192143,0.775115,-0.131413,-0.389369,0.000000,0.000000,0.000000,-0.010225,0.150449,0.020000,8.730555,49.657228,6.563198,87.000000,2.234828,5.183116,0.016507,8.730555,49.657228,6.563198,87.000000,2.233828,5.183116,0.015507
